date_key,year,month,day,day_of_week,week_of_year
2025-08-30,2025,8,30,6,35
2025-08-31,2025,8,31,7,35
2025-09-01,2025,9,1,1,36
2025-09-02,2025,9,2,2,36
2025-09-03,2025,9,3,3,36
2025-09-04,2025,9,4,4,36
2025-09-05,2025,9,5,5,36
2025-09-06,2025,9,6,6,36
2025-09-07,2025,9,7,7,36
2025-09-08,2025,9,8,1,37
2025-09-09,2025,9,9,2,37
2025-09-10,2025,9,10,3,37
2025-09-11,2025,9,11,4,37
2025-09-12,2025,9,12,5,37
2025-09-13,2025,9,13,6,37
2025-09-14,2025,9,14,7,37
2025-09-15,2025,9,15,1,38
2025-09-16,2025,9,16,2,38
2025-09-17,2025,9,17,3,38
2025-09-18,2025,9,18,4,38
2025-09-19,2025,9,19,5,38
2025-09-20,2025,9,20,6,38
2025-09-21,2025,9,21,7,38
2025-09-22,2025,9,22,1,39
2025-09-23,2025,9,23,2,39
2025-09-24,2025,9,24,3,39
2025-09-25,2025,9,25,4,39
2025-09-26,2025,9,26,5,39
2025-09-27,2025,9,27,6,39
2025-09-28,2025,9,28,7,39
2025-09-29,2025,9,29,1,40
2025-09-30,2025,9,30,2,40
2025-10-01,2025,10,1,3,40
2025-10-02,2025,10,2,4,40
2025-10-03,2025,10,3,5,40
2025-10-04,2025,10,4,6,40
2025-10-05,2025,10,5,7,40
2025-10-06,2025,10,6,1,41
2025-10-07,2025,10,7,2,41
2025-10-08,2025,10,8,3,41
2025-10-09,2025,10,9,4,41
2025-10-10,2025,10,10,5,41
2025-10-11,2025,10,11,6,41
2025-10-12,2025,10,12,7,41
2025-10-13,2025,10,13,1,42
2025-10-14,2025,10,14,2,42
2025-10-15,2025,10,15,3,42
2025-10-16,2025,10,16,4,42
2025-10-17,2025,10,17,5,42
2025-10-18,2025,10,18,6,42
2025-10-19,2025,10,19,7,42
2025-10-20,2025,10,20,1,43
2025-10-21,2025,10,21,2,43
2025-10-22,2025,10,22,3,43
2025-10-23,2025,10,23,4,43
2025-10-24,2025,10,24,5,43
2025-10-25,2025,10,25,6,43
2025-10-26,2025,10,26,7,43
2025-10-27,2025,10,27,1,44
2025-10-28,2025,10,28,2,44
2025-10-29,2025,10,29,3,44
2025-10-30,2025,10,30,4,44
2025-10-31,2025,10,31,5,44
2025-11-01,2025,11,1,6,44
2025-11-02,2025,11,2,7,44
2025-11-03,2025,11,3,1,45
2025-11-04,2025,11,4,2,45
2025-11-05,2025,11,5,3,45
2025-11-06,2025,11,6,4,45
2025-11-07,2025,11,7,5,45
2025-11-08,2025,11,8,6,45
2025-11-09,2025,11,9,7,45
2025-11-10,2025,11,10,1,46
2025-11-11,2025,11,11,2,46
2025-11-12,2025,11,12,3,46
2025-11-13,2025,11,13,4,46
2025-11-14,2025,11,14,5,46
2025-11-15,2025,11,15,6,46
2025-11-16,2025,11,16,7,46
2025-11-17,2025,11,17,1,47
2025-11-18,2025,11,18,2,47
2025-11-19,2025,11,19,3,47
2025-11-20,2025,11,20,4,47
2025-11-21,2025,11,21,5,47
2025-11-22,2025,11,22,6,47
2025-11-23,2025,11,23,7,47
2025-11-24,2025,11,24,1,48
2025-11-25,2025,11,25,2,48
2025-11-26,2025,11,26,3,48
2025-11-27,2025,11,27,4,48
2025-11-28,2025,11,28,5,48
2025-11-29,2025,11,29,6,48
2025-11-30,2025,11,30,7,48
2025-12-01,2025,12,1,1,49
2025-12-02,2025,12,2,2,49
2025-12-03,2025,12,3,3,49
2025-12-04,2025,12,4,4,49
2025-12-05,2025,12,5,5,49
2025-12-06,2025,12,6,6,49
2025-12-07,2025,12,7,7,49
2025-12-08,2025,12,8,1,50
2025-12-09,2025,12,9,2,50
2025-12-10,2025,12,10,3,50
2025-12-11,2025,12,11,4,50
2025-12-12,2025,12,12,5,50
2025-12-13,2025,12,13,6,50
2025-12-14,2025,12,14,7,50
2025-12-15,2025,12,15,1,51
2025-12-16,2025,12,16,2,51
2025-12-17,2025,12,17,3,51
2025-12-18,2025,12,18,4,51
2025-12-19,2025,12,19,5,51
2025-12-20,2025,12,20,6,51
2025-12-21,2025,12,21,7,51
2025-12-22,2025,12,22,1,52
2025-12-23,2025,12,23,2,52
2025-12-24,2025,12,24,3,52
2025-12-25,2025,12,25,4,52
2025-12-26,2025,12,26,5,52
2025-12-27,2025,12,27,6,52
2025-12-28,2025,12,28,7,52
2025-12-29,2025,12,29,1,1
2025-12-30,2025,12,30,2,1
2025-12-31,2025,12,31,3,1
2026-01-01,2026,1,1,4,1
2026-01-02,2026,1,2,5,1
2026-01-03,2026,1,3,6,1
2026-01-04,2026,1,4,7,1
2026-01-05,2026,1,5,1,2
2026-01-06,2026,1,6,2,2
2026-01-07,2026,1,7,3,2
2026-01-08,2026,1,8,4,2
2026-01-09,2026,1,9,5,2
2026-01-10,2026,1,10,6,2
2026-01-11,2026,1,11,7,2
2026-01-12,2026,1,12,1,3
2026-01-13,2026,1,13,2,3
2026-01-14,2026,1,14,3,3
2026-01-15,2026,1,15,4,3
2026-01-16,2026,1,16,5,3
2026-01-17,2026,1,17,6,3
2026-01-18,2026,1,18,7,3
2026-01-19,2026,1,19,1,4
2026-01-20,2026,1,20,2,4
2026-01-21,2026,1,21,3,4
2026-01-22,2026,1,22,4,4
2026-01-23,2026,1,23,5,4
2026-01-24,2026,1,24,6,4
2026-01-25,2026,1,25,7,4
2026-01-26,2026,1,26,1,5
2026-01-27,2026,1,27,2,5
2026-01-28,2026,1,28,3,5
2026-01-29,2026,1,29,4,5
2026-01-30,2026,1,30,5,5
2026-01-31,2026,1,31,6,5
2026-02-01,2026,2,1,7,5
2026-02-02,2026,2,2,1,6
2026-02-03,2026,2,3,2,6
2026-02-04,2026,2,4,3,6
2026-02-05,2026,2,5,4,6
2026-02-06,2026,2,6,5,6
2026-02-07,2026,2,7,6,6
2026-02-08,2026,2,8,7,6
2026-02-09,2026,2,9,1,7
2026-02-10,2026,2,10,2,7
2026-02-11,2026,2,11,3,7
2026-02-12,2026,2,12,4,7
2026-02-13,2026,2,13,5,7
2026-02-14,2026,2,14,6,7
2026-02-15,2026,2,15,7,7
2026-02-16,2026,2,16,1,8
2026-02-17,2026,2,17,2,8
2026-02-18,2026,2,18,3,8
2026-02-19,2026,2,19,4,8
2026-02-20,2026,2,20,5,8
2026-02-21,2026,2,21,6,8
2026-02-22,2026,2,22,7,8
2026-02-23,2026,2,23,1,9
2026-02-24,2026,2,24,2,9
2026-02-25,2026,2,25,3,9
